MicroColony_ID;Treatment;OriginColony_name;Time;Event
a;Control;Colony 1;1440;1
b;Control;Colony 1;1440;0
c;Control;Colony 1;1440;0
d;Control;Colony 1;1440;0
e;Control;Colony 1;1440;0
f;Control;Colony 1;1440;0
g;Control;Colony 1;1440;1
h;Control;Colony 1;1440;0
i;Control;Colony 1;1440;0
j;Control;Colony 1;1440;0
k;Control;Colony 1;1440;0
l;Control;Colony 1;1440;0
m;Control;Colony 2;1440;0
n;Control;Colony 2;1440;0
o;Control;Colony 2;1440;0
p;Control;Colony 2;1440;0
q;Control;Colony 2;1440;0
r;Control;Colony 2;1440;0
s;Control;Colony 2;1440;0
t;Control;Colony 2;1440;0
u;Control;Colony 2;1440;0
v;Control;Colony 2;1440;0
w;Control;Colony 2;1440;0
x;Control;Colony 2;1440;0
y;Control;Colony 3;1440;0
z;Control;Colony 3;1440;0
a;Control;Colony 3;1440;0
b;Control;Colony 3;1440;0
c;Control;Colony 3;1440;0
d;Control;Colony 3;1440;0
e;Control;Colony 4;1440;0
f;Control;Colony 4;1440;0
g;Control;Colony 4;1440;0
h;Control;Colony 4;1440;0
i;Control;Colony 4;1440;0
j;Control;Colony 4;1440;0
k;Control;Colony 3;1440;0
l;Control;Colony 3;1440;0
m;Control;Colony 3;1440;0
n;Control;Colony 3;1440;0
o;Control;Colony 3;1440;0
p;Control;Colony 3;1440;0
q;Control;Colony 3;1440;0
r;Control;Colony 3;1440;0
s;Control;Colony 3;1440;0
t;Control;Colony 3;1440;0
u;Control;Colony 3;1440;0
v;Control;Colony 3;1440;0
w;Control;Colony 3;1440;0
x;Control;Colony 3;1440;0
y;Control;Colony 3;1440;0
z;Control;Colony 3;1440;0
a;Control;Colony 3;1440;0
b;Control;Colony 3;1440;0
c;Roundup Ready to Use 100%;Colony 1;0;1
d;Roundup Ready to Use 100%;Colony 1;0;1
e;Roundup Ready to Use 100%;Colony 1;0;1
f;Roundup Ready to Use 100%;Colony 1;0;1
g;Roundup Ready to Use 100%;Colony 1;0;1
h;Roundup Ready to Use 100%;Colony 1;10;1
i;Roundup Ready to Use 100%;Colony 1;0;1
j;Roundup Ready to Use 100%;Colony 1;0;1
k;Roundup Ready to Use 100%;Colony 1;0;1
l;Roundup Ready to Use 100%;Colony 1;10;1
m;Roundup Ready to Use 100%;Colony 1;10;1
n;Roundup Ready to Use 100%;Colony 1;20;1
o;Roundup Ready to Use 100%;Colony 2;0;1
p;Roundup Ready to Use 100%;Colony 2;0;1
q;Roundup Ready to Use 100%;Colony 2;0;1
r;Roundup Ready to Use 100%;Colony 2;0;1
s;Roundup Ready to Use 100%;Colony 2;10;1
t;Roundup Ready to Use 100%;Colony 2;30;1
u;Roundup Ready to Use 100%;Colony 2;0;1
v;Roundup Ready to Use 100%;Colony 2;0;1
w;Roundup Ready to Use 100%;Colony 2;0;1
x;Roundup Ready to Use 100%;Colony 2;0;1
y;Roundup Ready to Use 100%;Colony 2;0;1
z;Roundup Ready to Use 100%;Colony 2;0;1
a;Roundup Ready to Use 100%;Colony 3;0;1
b;Roundup Ready to Use 100%;Colony 3;0;1
c;Roundup Ready to Use 100%;Colony 3;0;1
d;Roundup Ready to Use 100%;Colony 3;0;1
e;Roundup Ready to Use 100%;Colony 3;0;1
f;Roundup Ready to Use 100%;Colony 4;0;1
g;Roundup Ready to Use 100%;Colony 4;0;1
h;Roundup Ready to Use 100%;Colony 4;0;1
i;Roundup Ready to Use 100%;Colony 4;0;1
j;Roundup Ready to Use 100%;Colony 4;0;1
k;Roundup Ready to Use 100%;Colony 4;0;1
l;Roundup Ready to Use 100%;Colony 3;0;1
m;Roundup Ready to Use 100%;Colony 3;0;1
n;Roundup Ready to Use 100%;Colony 3;0;1
o;Roundup Ready to Use 100%;Colony 3;10;1
p;Roundup Ready to Use 100%;Colony 3;10;1
q;Roundup Ready to Use 100%;Colony 3;10;1
r;Roundup Ready to Use 100%;Colony 3;0;1
s;Roundup Ready to Use 100%;Colony 3;0;1
t;Roundup Ready to Use 100%;Colony 3;0;1
u;Roundup Ready to Use 100%;Colony 3;10;1
v;Roundup Ready to Use 100%;Colony 3;1440;1
w;Roundup Ready to Use 100%;Colony 3;1440;1
x;Roundup Ready to Use 100%;Colony 3;0;1
y;Roundup Ready to Use 100%;Colony 3;10;1
z;Roundup Ready to Use 100%;Colony 3;20;1
a;Roundup Ready to Use 100%;Colony 3;1440;0
