country;pro_kopf_gdp_2018;co2_per_person;rate_angestellt_frauen;rate_angestellt_maenner;lebenserwartung;kindersterblichkeit_0_5_pro_1000;kinder_pro_frau
Afghanistan;2060;0.254;18.4;66.9;62.7;62.3;4.33
Albania;13300;1.59;44.6;59.3;78.4;8.82;1.71
Algeria;11700;3.69;13.7;61.2;76;23.5;2.64
Angola;6880;1.12;70.6;73.7;64.6;77.2;5.55
Argentina;22700;4.41;45.5;66.8;76.5;9.94;2.26
Armenia;13200;1.89;34.3;53.6;75.6;12.4;1.6
Australia;49100;16.9;57.2;67.3;82.9;3.69;1.83
Austria;55200;7.75;52.5;63.4;82.1;3.52;1.52
Azerbaijan;14200;3.7;60;67.3;70.8;21.5;2.04
Bahamas;34700;4.7;63.1;73.5;73.8;10.2;1.75
Bahrain;48900;19.8;42.8;86.7;77;7.09;1.99
Bangladesh;5120;0.531;33.7;78.8;74.2;30.2;2.05
Barbados;16000;4.48;55.6;62.7;76.5;12.2;1.8
Belarus;19000;6.93;56.1;67.9;74;3.42;1.72
Belgium;51100;8.69;46;55.3;81.4;3.65;1.8
Belize;8800;1.5;44.9;77.1;74.4;13;2.44
Benin;3040;0.623;66.9;71.4;64;93;4.84
Bhutan;11200;1.61;57.4;72.3;73;29.7;1.99
Bolivia;8470;1.96;61.1;77.8;71.8;26.8;2.8
Bosnia and Herzegovina;14100;6.53;28.3;48.3;76.9;5.81;1.39
Botswana;15000;2.96;51.8;65.9;61.8;36.5;2.64
Brazil;14600;2.18;46.6;66.2;75.7;14.3;1.7
Brunei;59700;18.5;52.6;68.3;74.2;11.6;1.85
Bulgaria;22200;6.32;47;58.5;73.3;7.06;1.59
Burkina Faso;2050;0.198;55.7;71.4;61.3;76.4;5.19
Burundi;740;0.0467;79.7;76.3;63.4;58.5;5.53
Cambodia;4220;0.64;77;87.6;69.7;28;2.5
Cameroon;3730;0.323;68.5;78.8;62.6;76.1;4.57
Canada;49000;15.3;57.6;65.4;82.2;4.97;1.56
Cape Verde;6530;1.16;46.9;59;73.5;19.5;2.27
Central African Republic;855;0.0651;61.8;76.8;51.5;116;4.72
Chad;1560;0.0656;62.8;76.1;59.9;119;5.75
Chile;25100;4.59;47.5;68.9;80.1;7.19;1.76
China;15100;7.06;58.9;72.5;77.4;8.6;1.64
Colombia;14400;1.96;50.5;75.1;80.1;14.2;1.82
Comoros;3290;0.263;30.7;53.1;68.5;67.5;4.2
Congo, Dem. Rep.;1050;0.0243;59;63.1;64.7;88.1;5.92
Congo, Rep.;3790;0.617;60.7;65;65;50.1;4.54
Costa Rica;20500;1.61;42.2;70.4;80;8.79;1.75
Cote d'Ivoire;4950;0.335;42.7;61;63.6;80.9;4.78
Croatia;28200;4.48;41.3;53.4;78.6;4.67;1.45
Cuba;11600;2.53;40.5;65.4;78.3;4.98;1.72
Cyprus;40100;6.3;52.8;63.1;80.8;2.38;1.34
Czech Republic;39900;9.94;51.6;67.7;79.3;3.37;1.57
Denmark;56200;6.06;54.4;62.6;81.1;4.22;1.76
Djibouti;4590;0.672;45;61.3;66.7;59.3;2.73
Dominican Republic;17500;2.34;47.3;76.6;72.9;28.9;2.36
Ecuador;11600;2.46;52.7;78.8;76.2;14.2;2.43
Egypt;10800;2.43;14.5;66.5;70.7;21.2;3.15
El Salvador;8810;1.11;43.4;72.4;75.6;13.7;2.04
Equatorial Guinea;17800;4.35;50.2;61.5;65.8;85.3;4.51
Eritrea;1720;0.215;67.1;81.2;63.4;41.9;3.99
Estonia;35000;14.8;54.3;67.5;77.9;2.65;1.66
Eswatini;8340;1.06;36.6;44.8;57.8;54.4;2.98
Ethiopia;2070;0.137;71.3;84.5;68.4;55.2;3.97
Fiji;13300;2.41;36.3;74;68.3;25.6;2.47
Finland;48000;8.52;51.7;58.4;81.8;1.7;1.78
France;45200;5.2;46.2;54.8;82.9;4.04;1.97
Gabon;14300;2.53;31.1;52.9;67.5;44.8;3.66
Gambia;2010;0.268;44.8;63.5;66.4;58.4;5.29
Georgia;14300;2.64;49.6;63.6;73.3;9.81;1.98
Germany;53400;9.14;53.6;64.1;81.2;3.66;1.48
Ghana;5130;0.615;61;69;65.8;47.9;3.87
Greece;29100;7.03;33.6;50.9;81;4.45;1.3
Guatemala;8470;1.07;38.7;84.7;72.4;26.2;2.87
Guinea;2470;0.256;60.7;57;60.6;101;4.7
Guinea-Bissau;1850;0.181;64;76.7;60.3;81.5;4.48
Guyana;12400;3.12;35.6;58.8;67.1;30.1;2.46
Haiti;3200;0.27;53.2;64.6;63.5;64.8;2.82
Honduras;5560;1.04;48.1;82;71.9;17.6;2.39
Hong Kong, China;61100;5.86;52.8;65.5;84.3;2.08;1.34
Hungary;31100;5.14;46.5;63.4;76.3;4.27;1.4
Iceland;56800;10.8;69.3;77.3;84;1.96;1.91
India;6440;1.96;19.6;72.1;70.5;36.6;2.28
Indonesia;11400;2.3;50.8;78.2;71.1;25;2.31
Iran;14600;8.81;14.4;64.4;77.6;14.4;1.61
Iraq;10000;5.32;7.9;66.8;73.3;26.7;4.25
Ireland;83300;8.09;53;64.8;82;3.66;1.98
Israel;39900;7.67;57.3;65.9;83;3.73;2.92
Italy;42000;5.58;36;53.5;83.1;3.03;1.5
Jamaica;10200;2.79;52.5;67.5;76.3;14.4;1.98
Japan;41700;9.14;51.6;69.7;84.8;2.49;1.48
Jordan;9580;2.42;11;54.6;77.9;16.1;3.24
Kazakhstan;25500;17.6;59.6;72.5;71.7;9.91;2.57
Kenya;4460;0.36;69.9;75.3;66.1;41.1;3.74
Kuwait;48900;23.7;47.1;86.7;81.6;7.85;1.95
Kyrgyz Republic;5130;1.6;40.5;70.4;73.3;18.9;2.91
Lao;7550;2.74;76.1;79.3;68.6;47.3;2.59
Latvia;30100;3.73;52.4;63;75.8;3.86;1.57
Lebanon;18000;3.53;20.6;68.1;76.2;7.44;1.71
Lesotho;2540;1.26;43.2;60.4;51.4;81.1;3
Liberia;1520;0.324;70.5;77.8;65.7;70.9;4.45
Libya;25700;8.09;25.6;55.3;75.7;12;2.2
Lithuania;35400;4.84;53.7;63.1;76.1;4.04;1.67
Luxembourg;114000;15.9;51.5;60.2;82.9;2.42;1.59
Madagascar;1560;0.163;81.9;87.4;65.1;53.6;4.08
Malawi;1480;0.0762;67.8;77.1;64.1;49.7;4.44
Malaysia;26800;8.08;49.5;75.1;75.2;7.78;2
Maldives;19800;2.96;40.1;78.6;79;8.62;2.01
Mali;2190;0.187;53;76;61.2;97.8;5.88
Malta;44600;3.61;45;64.9;82.5;7.02;1.48
Mauritania;5370;0.605;24.7;56.9;70.5;75.7;4.55
Mauritius;23000;3.83;40.7;68.8;75.3;15.5;1.43
Mexico;20300;3.79;42.6;76.1;75.5;12.7;2.12
Moldova;12400;1.27;34.4;40;74;15.8;1.23
